epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,174810,1.26588,0.61673,0.00212,0.91889,0.77253,0.82379,0.63779,0.99122,0.4257,0.00196,0.008581,0.008581,0.008581
45,178918,1.27625,0.62218,0.00216,0.92149,0.77015,0.82331,0.63705,0.99091,0.42588,0.00197,0.008548,0.008548,0.008548
46,183134,1.28307,0.62855,0.00209,0.91928,0.77188,0.82263,0.63666,0.99037,0.42634,0.00197,0.008515,0.008515,0.008515
47,187139,1.27532,0.62178,0.00206,0.91688,0.77475,0.82306,0.63738,0.99016,0.42658,0.00197,0.008482,0.008482,0.008482
48,191049,1.2735,0.61238,0.00213,0.92216,0.77027,0.8226,0.63671,0.98926,0.42607,0.00197,0.008449,0.008449,0.008449
49,194989,1.27902,0.62433,0.00216,0.92058,0.7739,0.82293,0.63662,0.98948,0.42462,0.00197,0.008416,0.008416,0.008416
50,199312,1.28317,0.63355,0.00223,0.92271,0.77099,0.82385,0.63763,0.98948,0.42433,0.00197,0.008383,0.008383,0.008383
51,203638,1.27499,0.622,0.00221,0.92355,0.77051,0.82405,0.63786,0.98919,0.42436,0.00196,0.00835,0.00835,0.00835
52,207792,1.26901,0.62552,0.00221,0.92418,0.77118,0.82442,0.63752,0.9891,0.42365,0.00196,0.008317,0.008317,0.008317
53,211809,1.26096,0.6197,0.00209,0.92008,0.77376,0.82419,0.63761,0.98864,0.42332,0.00196,0.008284,0.008284,0.008284
54,215813,1.27799,0.61728,0.00216,0.92271,0.77257,0.82561,0.63887,0.98835,0.42266,0.00196,0.008251,0.008251,0.008251
55,219678,1.28009,0.62448,0.00218,0.91999,0.77422,0.82481,0.63815,0.98796,0.42191,0.00196,0.008218,0.008218,0.008218
56,223530,1.28068,0.62856,0.00213,0.92064,0.77294,0.82325,0.63677,0.98785,0.42121,0.00196,0.008185,0.008185,0.008185
57,227444,1.26688,0.60965,0.00217,0.92554,0.76859,0.82292,0.63679,0.98792,0.42036,0.00195,0.008152,0.008152,0.008152
58,231327,1.27125,0.61462,0.00215,0.92409,0.77018,0.82212,0.63585,0.98845,0.41853,0.00195,0.008119,0.008119,0.008119
59,235175,1.26982,0.62907,0.00212,0.9216,0.77061,0.82115,0.63602,0.98831,0.41825,0.00195,0.008086,0.008086,0.008086
60,239046,1.2569,0.6116,0.00214,0.92605,0.76913,0.82131,0.63536,0.98878,0.41767,0.00195,0.008053,0.008053,0.008053
61,242947,1.2689,0.6148,0.00205,0.92493,0.77216,0.82206,0.63618,0.98783,0.41661,0.00195,0.00802,0.00802,0.00802
62,246833,1.26804,0.61287,0.00214,0.92394,0.771,0.82086,0.63552,0.98765,0.41618,0.00195,0.007987,0.007987,0.007987
63,3882.91,1.2328,0.58123,0.00199,0.92372,0.77122,0.8215,0.63616,0.98713,0.41598,0.00195,0.007954,0.007954,0.007954
64,7643.58,1.2557,0.61122,0.00218,0.92014,0.77329,0.82186,0.63654,0.98694,0.41532,0.00195,0.007921,0.007921,0.007921
65,11413,1.26529,0.61195,0.00208,0.92021,0.77537,0.82275,0.63734,0.9874,0.41395,0.00195,0.007888,0.007888,0.007888
66,15086.9,1.2651,0.62514,0.00216,0.92047,0.77488,0.82275,0.63756,0.98776,0.41427,0.00195,0.007855,0.007855,0.007855
67,2708.95,1.25223,0.61881,0.0021,0.91891,0.77413,0.8233,0.63003,1.05141,0.41978,0.00199,0.007822,0.007822,0.007822
68,5480.88,1.26455,0.63422,0.0022,0.91994,0.77267,0.82239,0.62986,1.04784,0.41994,0.00199,0.007789,0.007789,0.007789
